
<!-- saved from url=(0099)https://www.metabolomicsworkbench.org/data/showfile_t.php?RA=79.215.64.159&DF=MSdata_ST000383_1.txt -->
<html><head><meta http-equiv="Content-Type" content="text/html; charset=UTF-8"></head><body><pre>Metabolite_name	RefMet_name	090309bsesa100_1	090309bsesa106_1	090309bsesa109_1	090309bsesa110_1	090309bsesa59_1	090309bsesa60_1	090309bsesa61_1	090309bsesa65_1	090309bsesa66_1	090309bsesa67_1	090309bsesa68_1	090309bsesa69_1	090309bsesa75_1	090309bsesa77_1	090309bsesa78_1	090309bsesa88_1	090309bsesa89_2	090309bsesa92_2	090309bsesa95_1	090309bsesa96_1	090309bsesa98_1	090309bsesa99_1	090309bsesa101_1	090309bsesa104_1	090309bsesa108_1	090309bsesa112_1	090309bsesa58_1	090309bsesa62_1	090309bsesa63_1	090309bsesa64_1	090309bsesa70_1	090309bsesa72_1	090309bsesa73_1	090309bsesa79_1	090309bsesa80_2	090309bsesa82_1	090309bsesa83_1	090309bsesa84_1	090309bsesa85_1	090309bsesa86_1	090309bsesa87_1	090309bsesa90_2	090309bsesa94_1	090309bsesa97_1	090309bsesa102_1	090309bsesa103_1	090309bsesa74_1	090309bsesa76_1	090309bsesa91_1	090309bsesa93_2	090309bsesa105_1	090309bsesa107_1	090309bsesa111_1	090309bsesa57_1	090309bsesa71_1	090309bsesa81_1
Factors	-	Health Status:diabetic | UCP-3 Polymorphism:g/a	Health Status:diabetic | UCP-3 Polymorphism:g/a	Health Status:diabetic | UCP-3 Polymorphism:g/a	Health Status:diabetic | UCP-3 Polymorphism:g/a	Health Status:diabetic | UCP-3 Polymorphism:g/a	Health Status:diabetic | UCP-3 Polymorphism:g/a	Health Status:diabetic | UCP-3 Polymorphism:g/a	Health Status:diabetic | UCP-3 Polymorphism:g/a	Health Status:diabetic | UCP-3 Polymorphism:g/a	Health Status:diabetic | UCP-3 Polymorphism:g/a	Health Status:diabetic | UCP-3 Polymorphism:g/a	Health Status:diabetic | UCP-3 Polymorphism:g/a	Health Status:diabetic | UCP-3 Polymorphism:g/a	Health Status:diabetic | UCP-3 Polymorphism:g/a	Health Status:diabetic | UCP-3 Polymorphism:g/a	Health Status:diabetic | UCP-3 Polymorphism:g/a	Health Status:diabetic | UCP-3 Polymorphism:g/a	Health Status:diabetic | UCP-3 Polymorphism:g/a	Health Status:diabetic | UCP-3 Polymorphism:g/a	Health Status:diabetic | UCP-3 Polymorphism:g/a	Health Status:diabetic | UCP-3 Polymorphism:g/a	Health Status:diabetic | UCP-3 Polymorphism:g/a	Health Status:diabetic | UCP-3 Polymorphism:g/g	Health Status:diabetic | UCP-3 Polymorphism:g/g	Health Status:diabetic | UCP-3 Polymorphism:g/g	Health Status:diabetic | UCP-3 Polymorphism:g/g	Health Status:diabetic | UCP-3 Polymorphism:g/g	Health Status:diabetic | UCP-3 Polymorphism:g/g	Health Status:diabetic | UCP-3 Polymorphism:g/g	Health Status:diabetic | UCP-3 Polymorphism:g/g	Health Status:diabetic | UCP-3 Polymorphism:g/g	Health Status:diabetic | UCP-3 Polymorphism:g/g	Health Status:diabetic | UCP-3 Polymorphism:g/g	Health Status:diabetic | UCP-3 Polymorphism:g/g	Health Status:diabetic | UCP-3 Polymorphism:g/g	Health Status:diabetic | UCP-3 Polymorphism:g/g	Health Status:diabetic | UCP-3 Polymorphism:g/g	Health Status:diabetic | UCP-3 Polymorphism:g/g	Health Status:diabetic | UCP-3 Polymorphism:g/g	Health Status:diabetic | UCP-3 Polymorphism:g/g	Health Status:diabetic | UCP-3 Polymorphism:g/g	Health Status:diabetic | UCP-3 Polymorphism:g/g	Health Status:diabetic | UCP-3 Polymorphism:g/g	Health Status:diabetic | UCP-3 Polymorphism:g/g	Health Status:non-diabetic | UCP-3 Polymorphism:g/a	Health Status:non-diabetic | UCP-3 Polymorphism:g/a	Health Status:non-diabetic | UCP-3 Polymorphism:g/a	Health Status:non-diabetic | UCP-3 Polymorphism:g/a	Health Status:non-diabetic | UCP-3 Polymorphism:g/a	Health Status:non-diabetic | UCP-3 Polymorphism:g/a	Health Status:non-diabetic | UCP-3 Polymorphism:g/g	Health Status:non-diabetic | UCP-3 Polymorphism:g/g	Health Status:non-diabetic | UCP-3 Polymorphism:g/g	Health Status:non-diabetic | UCP-3 Polymorphism:g/g	Health Status:non-diabetic | UCP-3 Polymorphism:g/g	Health Status:non-diabetic | UCP-3 Polymorphism:g/g
1-hexadecanol	Cetyl alcohol	1348	3779	2443	3339	3182	2197	2896	2441	2314	2234	2555	2255	2317	1128	839	1539	1440	1527	2070	1591	1396	1409	1414	1194	1681	2244	3183	2452	2563	2006	3296	11441	2526	1287	6027	1324	1296	1158	1409	1183	1509	1338	1801	996	1571	1484	2303	3138	2512	1350	1194	1871	2485	3872	3912	895
1-monoolein	MG 18:1(9Z)/0:0/0:0	2461	13060	4001	3821	24357	6766	7380	5840	20594	10738	2361	3936	4283	7597	16946	2216	13426	5351	6767	3551	3722	8806	46898	3661	2300	5257	5215	10195	7814	5710	3261	4270	5399	10485	5911	28051	2303	13628	6428	8978	15190	3008	3880	5750	5571	6355	3620	5142	5777	4945	3041	5563	48709	7469	7595	8602
1-monostearin	MG 18:0/0:0/0:0	3843	2755	1588	2288	3223	1544	2611	2511	2933	1859	1418	3918	2874	2299	2593	1512	2364	1883	2580	1587	2739	1815	3211	1804	1957	2162	2253	3349	2059	1981	2803	2110	3614	1945	3006	2529	2836	1443	3100	2338	1666	1578	1448	1959	2534	2136	1238	2334	1980	5138	1840	1948	3757	2546	2618	2226
2-aminoadipic acid	alpha-Aminoadipic acid	589	521	371	434	623	579	837	551	181	644	450	663	433	391	249	665	193	410	552	339	574	319	509	569	449	403	696	498	523	433	443	681	698	740	909	544	631	776	721	401	646	442	362	514	528	319	290	500	589	718	456	671	215	532	725	819
2-deoxyerythritol NIST	Standard	11674	9098	7177	11870	10737	13968	12074	9096	6921	14021	13236	9679	14758	10323	6648	6790	10508	12255	14395	15537	10861	10131	11927	10722	8820	15373	10406	13436	10984	10039	10059	10470	14464	11877	11953	7432	10221	12061	8237	15533	12177	9290	7927	7639	8114	6344	3860	7773	10210	10979	6813	7156	7066	13733	8204	8984
2-hydroxybutanoic acid	2-Hydroxybutyric acid	145579	110055	105758	185378	117407	235362	171513	82420	303067	92411	170490	51669	134217	99249	63108	135959			153800	62828	142664	379303	88136	147823	136311		144848	214854	166516	126169	119568	191113	178924	112702	106457	153532	153017	171106	117141	130293	107259		155728	169986	126339	254856	35792	53800	57751		69383	74319	42927	112017	70804	208171
2-hydroxyvaleric acid	2-Hydroxyvaleric acid	5707	5224	7245	6801												5214	6577	7966	6690	4829	5208	9254	9597	6139	6842	4574									13045	5567	5205	6348	6049	5697	11690	6280	5233	4656	4717	6049			7299	5619	7663	6798	4634			8122
2-ketoisocaproic acid	Ketoleucine	3599	6205	5760	8337	5472	6483	6502	6584	9880	6316	7329	3586	4026	5878	2319	4991	6564	3850	4906	3029	5829	9852	3605	5212	5361	4707	7150	8502	7051	6342	5168	11159	10660	4540	3792	8397	7285	4628	8844	7011	6103	5687	4218	6336	3332	2895	3205	5654	6308	4740	3520	6088	4720	4031	4818	8400
2-oxogluconic acid NIST	Standard	888	2843	1260	1352	647	725	906	456	658	186	726	937	741	968	253	1018	1390	1407	1038	1389	1112	905	649	919	349	1326	296	822	1315	867	624	1155	872	1041	2307	1111	388	762	1028	884	353	1185	1286	849	450	1018	783	299	745	853	370	544	534	1617	940	539
2-phenylpropanol NIST	Standard	33874	27375	35016	30207	50271	39759	50636	43889	42447	46127	40222	40800	42011	36493	25020	30728	40366	35200	42304	35470	35473	36332	35012	34897	34292	40081	44915	51176	48903	37356	51783	39024	44545	38374	39703	36108	41325	35433	47859	34173	44015	31513	40383	32162	40310	42013	40240	53539	44780	30442	38876	38686	46808	56195	49549	39144
3_6-anhydrogalactose	3,6-Anhydro-galactose	2383	1933	2045	3408	2639	3535	3188	2200	2892	4022	4637	2069	2684	2666	1922	1801	3517	1823	3937	3807	2210	3285	2412	3152	2745	3883	2816	4735	3358	2359	3245	2392	3279	3230	2293	3157	3217	2625	2740	4448	2389	2380	2317	2090	1331	869	962	1705	2173	2330	1644	1611	1333	2513	1919	1532
3-hydroxybutanoic acid	3-Hydroxybutyric acid	14189	16149	56261	22080	23090	30752	6140	49924	39094	15768	58472	19867	7064	50607	48335	42146	8883	12250	32500	264714	51140	325798	26990	11032	17109	7329	7545	63425	12715	29141	51570	22869	27000	59768	16015	118595	17032	95573	22587	115696	19769	23527	67720	27021	13134	8818	8848	12273	12999	8591	3343	10520	14402	5402	7042	22741
4-hydroxyproline	cis-4-Hydroxyproline	20663	16402	13823	1865	29339	34282	14896	17924	13220	19040	15323	10952	24743	18022	10981	11025	4250	12641	34585	27364	10671	11083	13830	29252	9198	9791	18910	46940	15195	8805	10569	16628	16582	12160	14595	8338	8634	22852	11274	13498	9370	5172	3664	39928	9397	16251	7433	17458	9529	15958	15143	10739	10713	40453	13311	20889
aconitic acid	cis-Aconitic acid	802	892	775	570	1321	1576	1230	1125	1907	911	1510	1361	1410	1060	690	923	1123	851	907	740	940	884	1258	607	522	752	1720	2221	1113	2065	2227	974	980	949	1812	452	913	1480	891	744	1133	682	785	1223	1020	297	822	845	955	612	692	900	1380	1967	819	1067
adipic acid	Adipic acid	2296	23568	2521	3038	3431	1732	2843	2472	2996	3590	3314	3741	2215	2745	2177	2350	4934	6744	1797	1641	1961	1920	1451	1789	2558	2663	2630	2083	3600	2107	3041	2877	3060	3378	7053	2480	2606	2356	2375	1810	2535	3703	1974	2071	1950	3210	1787	2508	2158	2733	1982	3034	2836	4140	3532	1894
alanine	Alanine	298845	443110	170976	277741	773432	1024238	535465	564015	380943	508579	255018	602188	507444	229092	234940	233427	547973	609990	387425	255329	576109	423750	510053	381582	155931	380900	1244514	421039	302138	1067538	274863	529677	541005	362165	566887	403485	348940	219731	183690	262693	280996	310688	201521	518614	324664	352579	396810	627185	359383	226175	458204	263587	311649	312593	614608	220255
alpha ketoglutaric acid	2-Oxoglutaric acid	1095	2976	1319	1046	1255	796	802	1796	1815	1876	1796	2464	404	1286	596	1295	1028	1711	699	769	1283	1183	1137	832	1268	1164	1306	1206	1111	1700	1850	5410	967	1051	1892	1557	1523	972	1499	645	1320	1321	995	1542	1399	1216	1266	1501	1111	596	1147	2053	2487	2509	2852	2204
